,indicativo,nombre_indicativo,start_date,end_date,latitud_dd,longitud_dd,cluster
180,1701X,RIBADAVIA,2016-01-01,2024-12-31,42.3,-8.129166666666666,5
181,1706A,ALLARIZ,2016-01-01,2024-12-31,42.18277777777777,-7.796111111111111,2
182,1719,A CAÑIZA,2016-01-01,2024-12-31,42.21805555555556,-8.281111111111112,5
183,1723X,"PONTEAREAS, CANEDO   ",2016-01-01,2024-12-31,42.18222222222222,-8.492777777777777,5
184,1730E,O ROSAL,2016-01-01,2024-12-31,41.943888888888885,-8.8475,5
185,1735X,XINZO DE LIMIA,2016-01-01,2024-12-31,42.07916666666667,-7.733611111111111,2
186,1738U,MUIÑOS,2016-01-01,2024-12-31,41.93416666666666,-7.988888888888889,5
187,1740,"SANTILLANA DEL MAR, ALTAMIRA",2016-01-01,2024-12-31,43.37722222222222,-4.124444444444444,5
188,2005Y,"VINUESA, QUINTANAREJO",2016-01-01,2024-12-31,41.967777777777776,-2.7827777777777776,2
189,2017Y,"LA PÓVEDA DE SORIA, BARRIOMARTÍN",2016-01-01,2024-12-31,41.99583333333334,-2.494166666666666,2
190,2030,SORIA,2016-01-01,2024-12-31,41.775,-2.483055555555556,0
191,2044B,LUBIA,2016-01-01,2024-12-31,41.60055555555556,-2.5075,0
192,2048A,MORÓN DE ALMAZÁN,2016-01-01,2024-12-31,41.41944444444445,-2.4202777777777778,0
193,2059B,LA RIBA DE ESCALOTE,2016-01-01,2024-12-31,41.34972222222223,-2.783333333333333,0
194,2084Y,UCERO,2016-01-01,2024-12-31,41.721944444444446,-3.046944444444444,2
195,2092,BURGO DE OSMA,2016-01-01,2024-12-31,41.589444444444446,-3.0869444444444447,0
196,2096B,LICERAS,2016-01-01,2024-12-31,41.37361111111111,-3.251388888888889,0
197,2106B,CORUÑA DEL CONDE,2016-01-01,2024-12-31,41.74583333333334,-3.3819444444444446,0
198,2117D,ARANDA DE DUERO,2016-01-01,2024-12-31,41.66583333333333,-3.742777777777778,0
199,2135A,FRESNO DE CANTESPINO,2016-01-01,2024-12-31,41.37277777777778,-3.507222222222222,0
200,2140A,ALDEANUEVA DE SERREZUELA,2016-01-01,2024-12-31,41.464444444444446,-3.785833333333333,0
201,2150H,"LA PINILLA, ESTACIÓN DE ESQUÍ",2016-01-01,2024-12-31,41.19194444444444,-3.475277777777778,2
202,2166Y,PEÑAFIEL,2016-01-01,2024-12-31,41.59305555555556,-4.124722222222222,0
203,2172Y,SARDÓN DE DUERO,2016-01-01,2024-12-31,41.61194444444445,-4.405555555555556,0
204,2182C,PEDRAZA,2016-01-01,2024-12-31,41.13388888888889,-3.790277777777778,0
205,2192C,CUÉLLAR,2016-01-01,2024-12-31,41.38361111111111,-4.265555555555555,0
206,2235U,CERVERA DE PISUERGA,2016-01-01,2023-12-31,42.87055555555556,-4.52,2
207,2243A,AGUILAR DE CAMPOO,2016-01-01,2024-07-01,42.79805555555556,-4.277222222222222,2
208,2276B,VILLAELES DE VALDAVIA,2016-01-01,2023-12-31,42.56888888888889,-4.575,0
209,2285B,VILLADIEGO,2022-01-01,2023-12-31,42.52388888888889,-4.001111111111111,0
210,2290Y,PEDROSA DEL PRÍNCIPE,2016-01-01,2023-12-31,42.25111111111111,-4.198888888888889,0
211,2296A,ÓLVEGA,2016-01-01,2023-12-31,41.77555555555556,-1.9766666666666668,0
212,2298,PALACIOS DE LA SIERRA,2016-01-01,2023-12-31,41.95972222222223,-3.131666666666667,0
213,2302N,MONTERRUBIO DE LA DEMANDA,2016-01-01,2025-06-11,42.146388888888886,-3.1097222222222225,2
214,2311Y,VILLAMAYOR DE LOS MONTES,2016-01-01,2025-06-11,42.10527777777778,-3.767777777777778,0
215,2331,BURGOS AEROPUERTO,2016-01-01,2025-06-11,42.35694444444445,-3.620277777777778,0
216,2362C,"VELILLA DEL RÍO CARRIÓN, CAMPORREDONDO DE ALBA",2016-01-01,2025-06-11,42.89388888888889,-4.713611111111112,2
217,2374X,CARRIÓN DE LOS CONDES,2016-01-01,2025-06-11,42.35083333333333,-4.617222222222223,0
218,2400E,AUTILLA DEL PINO,2016-01-01,2025-06-11,41.99555555555556,-4.602777777777778,0
219,2401X,PALENCIA,2016-01-01,2025-06-11,42.00944444444445,-4.560555555555555,0
220,2422,VALLADOLID,2016-01-01,2025-06-11,41.64083333333333,-4.754166666666666,0
221,2430Y,MUÑOTELLO,2016-01-01,2025-06-11,40.54333333333333,-5.0441666666666665,0
222,2444,ÁVILA,2016-01-01,2025-06-11,40.65916666666666,-4.679722222222223,0
223,2453E,GOTARRENDURA,2016-01-01,2025-06-11,40.82888888888889,-4.741944444444444,0
224,2456B,AREVALO,2016-01-01,2025-06-11,41.07138888888889,-4.73,0
225,2462,PUERTO DE NAVACERRADA,2016-01-01,2025-06-11,40.793055555555554,-4.010555555555555,1
226,2465,SEGOVIA,2016-01-01,2025-06-11,40.945277777777775,-4.126388888888888,0
227,2471Y,SAN RAFAEL,2016-01-01,2025-06-11,40.71861111111112,-4.211944444444445,2
228,2482B,MIGUELAÑEZ,2016-01-01,2025-06-11,41.12638888888889,-4.375833333333333,0
229,2491C,"LA COVATILLA, ESTACIÓN DE ESQUÍ",2016-01-01,2025-06-11,40.355,-5.69,1
230,2503B,"OLMEDO, DEPÓSITO DE AGUA",2016-01-01,2025-06-11,41.28,-4.691944444444444,0
231,2503X,OLMEDO,2016-01-01,2016-12-31,41.325833333333335,-4.686944444444444,0
232,2507Y,RUEDA,2016-01-01,2025-06-11,41.41944444444445,-4.963611111111112,0
233,2512Y,RIVILLA DE BARAJAS,2016-01-01,2025-06-11,40.88222222222223,-5.018611111111111,0
234,2517A,FUENTE EL SOL,2016-01-01,2025-06-10,41.172777777777775,-4.939722222222223,0
235,2536D,MORALES DEL TORO,2016-01-01,2025-06-11,41.54833333333333,-5.271388888888889,0
236,2539,VALLADOLID AEROPUERTO,2016-01-01,2022-12-31,41.71194444444445,-4.855555555555555,0
237,2555B,FUENTESAUCO,2016-01-01,2022-12-31,41.236666666666665,-5.481388888888889,0
238,2565,CORESES,2022-01-01,2022-12-31,41.555277777777775,-5.630555555555556,0
239,2568D,"SANTERVÁS DE LA VEGA, VILLAPÚN ",2016-01-01,2022-12-31,42.52361111111111,-4.851111111111111,0
240,2593D,VILLALÓN DE CAMPOS,2016-01-01,2024-12-31,42.094166666666666,-5.041111111111111,0
241,2604B,MEDINA DE RIOSECO,2016-01-01,2024-12-31,41.87583333333333,-5.040277777777778,0
242,2611D,VILLAFÁFILA,2016-01-01,2024-12-31,41.85638888888889,-5.592499999999999,0
243,2614,ZAMORA,2016-01-01,2024-12-31,41.51555555555556,-5.735277777777778,0
244,2624C,RIAÑO,2016-01-01,2024-12-31,42.958333333333336,-5.0075,2
245,2626Y,CUBILLAS DE RUEDA,2016-01-01,2024-12-31,42.62,-5.193333333333333,0
246,2630X,PUERTO DE SAN ISIDRO,2016-01-01,2024-12-31,43.06222222222222,-5.376944444444444,1
247,2661,"LEÓN, VIRGEN DEL CAMINO",2016-01-01,2024-12-31,42.58833333333334,-5.651111111111112,0
248,2661B,LEÓN AEROPUERTO,2017-07-03,2017-07-31,42.59944444444445,-5.643611111111111,0
249,2664B,VALENCIA DE DON JUAN,2016-01-01,2024-12-31,42.29583333333333,-5.504722222222222,0
250,2701D,"BARRIOS DE LUNA, MIÑERA",2017-01-01,2024-12-31,42.88555555555556,-5.870833333333334,2
251,2728B,"QUINTANA DEL CASTILLO, VILLAMECA",2017-01-01,2024-12-31,42.64833333333333,-6.070833333333333,2
