indicativo,altitud,tmed_mean,tmed_winter,tmed_spring,tmed_summer,tmed_fall,prec_mean,hrMedia_mean,velmedia_mean,longitud_dd,latitud_dd,tmed_range,prec_mean_log,velmedia_mean_log,cluster
6268X,12,16.665817367437295,16.998473283425145,,27.297382537463776,15.306172633085612,4.252,77.03549274517992,2.510658631246005,-3.5302777777777776,36.72277777777778,10.29890925403863,1.6586089564405497,1.255803664104429,0
6268Y,3,19.76685187965262,14.91212860689436,17.881007349915183,25.130070207135805,21.07042271752685,0.5784671532846716,66.77246415830521,2.608621572930083,-3.529166666666667,36.723888888888894,10.217941600241446,0.4564542199838638,1.2833258636735163,1
6272X,235,19.19167731102896,13.720049916805324,17.22860470985203,25.60949130490559,20.665419887333726,0.9551999999999999,61.498804126334534,2.9059368421052634,-3.38,36.73416666666667,11.889441388100265,0.670492489995139,1.3624976628678624,1
6277B,8,19.707683680696107,14.85134066995966,18.211616945551793,25.346693137569286,21.086055915060193,0.43099721059534657,68.65917255585458,2.3667758421955116,-3.020555555555556,36.74722222222222,10.495352467609626,0.35837155130291476,1.2139555630282202,1
6281X,1020,17.462627527974735,10.346947994712034,15.011521739130433,25.76304347826087,18.617802197802195,1.1217072680288993,47.09935116036015,2.357054430756022,-3.071388888888889,37.00527777777778,15.416095483548835,0.7522210796996668,1.2110639319731,4
6291B,98,20.743158182813357,15.125442477876106,18.66586956521739,27.156086956521737,21.94054945054945,0.36808976464148874,60.16885604816639,3.1942403067726817,-2.813055555555555,36.77472222222222,12.03064447864563,0.3134154344756183,1.433712228590464,1
6293X,3,19.07558509215851,13.224035989717223,17.321657730159227,24.67961883740997,19.99212962962963,0.21846431288918328,72.09878832083511,4.156211376426589,-2.7016666666666667,36.68694444444444,11.455582847692746,0.197591305914536,1.64020208044038,1
6299I,2300,8.0948,3.363186813186813,3.6031250000000004,19.128301886792453,7.179999999999999,3.2420144178781034,58.144,6.7718,-2.9644444444444447,37.09583333333334,15.76511507360564,1.4450382549764371,2.050501797782128,3
6302A,869,17.388667959643815,10.761128881260728,15.243970318790833,25.383522727272727,18.268925233644858,0.5923981414689614,48.724235570477084,2.072931093078788,-2.78,37.14138888888889,14.622393846011999,0.46524114501759756,1.1226318595577893,4
6307C,1713,14.863186813186813,8.181967213114755,11.386956521739132,22.948666666666668,14.435164835164837,0.850404787418969,47.637362637362635,2.283150183150183,-2.897222222222222,37.05305555555555,14.766699453551913,0.6154044191663808,1.1888033831783562,4
6307X,1510,14.275522917175905,7.739100732640062,11.76600352751009,22.507363013698633,14.86449814126394,1.473666002877885,49.829595366259326,3.4569524972428507,-2.9125,37.03333333333333,14.768262281058572,0.9057012619778019,1.4944652358961457,4
6312E,601,20.229888268156426,13.120796460176992,17.377173913043475,27.566,20.03956043956044,0.41154562383612664,48.43016759776536,2.6212290502793296,-2.677222222222222,37.020833333333336,14.445203539823007,0.344685291133507,1.2868134848666921,4
6325O,21,19.89947179288317,13.995465258302414,17.82481884057971,26.479891304347824,21.204945054945053,0.5214644160583941,64.89575729927007,4.533576642335767,-2.3569444444444447,36.84638888888889,12.48442604604541,0.4196733026731796,1.7108343772341335,1
6329X,42,20.167330943914514,15.095806962025316,17.96761006289308,25.876462336250487,21.623445575341886,0.4754725198077219,69.09287717036008,4.959317379364457,-2.1930555555555555,36.721944444444446,10.780655374225171,0.38897829090192027,1.7849559408540958,1
6332X,16,19.949957124406072,14.457312232384329,17.311983738004287,24.629349830453652,24.415384615384617,0.4901279597329437,66.80641944898188,4.67994625019556,-1.903611111111111,36.98027777777778,10.172037598069323,0.3988619952853747,1.7369417696945462,1
