idema,lon,fint,prec,alt,vmax,vv,dv,lat,dmax,ubi,hr,tamin,ta,tamax,pres,stdvv,ts,pres_nmar,tpr,vis,stddv,inso,tss5cm,psoltp,pliqt,rviento,vmaxu,dvu,pacutp,vvu,stdvvu,stddvu,dmaxu,tss20cm,geo850,geo925,nieve,geo700
6076X,-4.953051,2025-05-28T13:00:00+0000,0.0,2.0,2.8,1.5,74.0,36.484444,65.0,MARBELLA (PUERTO BANUS - AUTOMATICA),64.0,22.3,24.1,24.1,,,,,,,,,,,,,,,,,,,,,,,,
6083X,-4.740278,2025-05-28T13:00:00+0000,0.0,2.0,6.4,5.6,76.0,36.483334,75.0,MARBELLA  CABOPINO,77.0,23.8,23.8,23.9,,,,,,,,,,,,,,,,,,,,,,,,
6084X,-4.618209,2025-05-28T13:00:00+0000,0.0,8.0,4.2,2.8,121.0,36.538494,129.0,FUENGIROLA,,,,,1022.6,,,,,,,,,,,99.0,,,,,,,,,,,,
6088X,-4.514998,2025-05-28T13:00:00+0000,0.0,85.0,4.5,1.8,141.0,36.620556,105.0,TORREMOLINOS,38.0,26.0,26.0,26.8,,,,,,,,,,,,,,,,,,,,,,,,
6100B,-4.562222,2025-05-28T13:00:00+0000,0.0,515.0,,,,37.02361,,ANTEQUERA,20.0,32.4,34.1,34.1,,,,,,,,,,,,,,,,,,,,,,,,
6106X,-4.748339,2025-05-28T13:00:00+0000,0.0,408.0,7.4,2.3,159.0,37.029446,151.0,ANTEQUERA-BOBADILLA,26.0,29.4,30.3,31.0,974.4,,,1019.8,8.7,,,,,,,107.0,,,,,,,,,,,,
6127X,-4.69667,2025-05-28T13:00:00+0000,0.0,172.0,8.6,5.3,155.0,36.854725,147.0,ÁLORA  LAS PELONAS,25.0,30.7,31.2,31.2,,,,,,,,,,,,,,,,,,,,,,,,
6143X,-4.760827,2025-05-28T13:00:00+0000,0.0,230.0,,,,36.65778,,COIN (AUTOMATICA),23.0,31.5,31.5,32.5,,,,,,,,,,,,,,,,,,,,,,,,
6155A,-4.482307,2025-05-28T13:00:00+0000,0.0,6.54,7.2,4.3,130.0,36.66612,140.0,MÁLAGA/AEROPUERTO,49.0,25.9,26.1,27.3,1022.6,0.6,33.9,1023.4,14.5,,10.0,60.0,,,,,,,,,,,,,,,,
6156X,-4.48167,2025-05-28T13:00:00+0000,0.0,54.0,7.5,4.5,112.0,36.717785,93.0,MÁLAGA CMT,35.0,27.1,27.2,27.6,1016.9,1.1,,1023.1,10.4,,19.0,,,,,,,,,,,,,,,,,
6172O,-4.41972,2025-05-28T13:00:00+0000,0.0,25.0,4.4,2.7,159.0,36.716663,146.0,MÁLAGA PUERTO,56.0,23.1,24.1,24.3,1018.2,,,1021.1,14.8,,,,,,,99.0,,,,,,,,,,,,
6172X,-4.41972,2025-05-28T13:00:00+0000,0.0,25.0,5.0,2.9,226.0,36.716663,205.0,MÁLAGA,64.0,23.0,23.9,23.9,,,,,,,,,,,,,,,,,,,,,,,,
6175X,-4.286128,2025-05-28T13:00:00+0000,0.0,7.0,,,,36.715046,,RINCON DE LA VICTORIA (AUTOMATICA),53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6199X,-4.093611,2025-05-28T13:00:00+0000,0.0,41.0,6.7,4.2,162.0,36.768612,147.0,VELEZ MALAGA (AUTOMATICA),49.0,26.4,26.4,27.5,,,,,,,,,,,,,,,,,,,,,,,,
6201X,-4.043892,2025-05-28T13:00:00+0000,0.0,35.0,6.7,4.2,183.0,36.755836,185.0,ALGARROBO (LA MAYORA - AUTOMATICA),56.0,26.4,26.4,26.8,,,,,,,,,,,,,,,,,,,,,,,,
6205X,-3.95722,2025-05-28T13:00:00+0000,0.0,3.0,5.4,4.8,146.0,36.726383,144.0,TORROX FARO,82.0,23.3,24.2,25.3,1023.5,,,1023.8,20.9,,,,,,,132.0,,,,,,,,,,,,
6213X,-3.845275,2025-05-28T13:00:00+0000,0.0,169.0,5.1,1.8,149.0,36.762775,110.0,NERJA (CUEVAS DE NERJA - AUTOMATICA),56.0,24.7,25.1,25.3,,,,,,,,,,,,,,,,,,,,,,,,
6248D,-3.430278,2025-05-28T13:00:00+0000,,1732.11,5.8,2.4,126.0,36.95222,161.0,CAÑAR  PARQUE NACIONAL SIERRA NEVADA,37.0,22.5,23.4,23.6,838.0,0.8,,,,,21.0,,,,,,,,,,,,,,,,,
6258X,-3.4925,2025-05-28T13:00:00+0000,0.0,708.0,,,,36.923058,,LANJARÓN,33.0,26.1,27.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,
6267X,-3.578623,2025-05-28T13:00:00+0000,0.0,20.0,5.1,2.4,202.0,36.748337,230.0,SALOBREÑA,52.0,26.0,26.4,26.4,,,,,,,,,,,,,,,,,,,,,,,,
6268Y,-3.529267,2025-05-28T13:00:00+0000,0.0,3.0,6.3,4.2,157.0,36.72401,162.0,MOTRIL PUERTO NAÚTICO,69.0,22.3,22.4,22.5,,,,,,,,,,,,,,,,,,,,,,,,
6272X,-3.380008,2025-05-28T13:00:00+0000,0.0,235.0,5.2,2.8,120.0,36.7343,130.0,CASTELL DEL FERRO,55.0,24.2,24.3,24.4,,,,,,,,,,,,,,,,,,,,,,,,
6277B,-3.020578,2025-05-28T13:00:00+0000,0.0,8.0,2.5,1.2,152.0,36.74718,121.0,ADRA CLUB NAÚTICO,70.0,22.9,23.9,24.9,1022.2,,,1023.1,18.1,,,,,,,53.0,,,,,,,,,,,,
6281X,-3.071395,2025-05-28T13:00:00+0000,0.0,1020.0,,,,37.005383,,VÁLOR,25.0,29.0,29.4,29.4,,,,,,,,,,,,,,,,,,,,,,,,
6291B,-2.81305,2025-05-28T13:00:00+0000,0.0,98.0,,,,36.77472,,EL EJIDO (AYUNTAMIENTO - AUTOMATICA),47.0,28.3,28.7,29.2,,,,,,,,,,,,,,,,,,,,,,,,
6293X,-2.701667,2025-05-28T13:00:00+0000,0.0,3.0,5.0,3.1,127.0,36.68694,131.0,ROQUETAS DE MAR-FARO SABINAR,,23.2,23.3,24.3,1023.5,0.7,29.1,,,20.0,11.0,60.0,26.6,,,,,,0.0,,,,,,,,,
6299I,-2.964444,2025-05-28T13:00:00+0000,,2300.27,7.9,5.1,194.0,37.095833,200.0,LAGUNA SECA  PARQUE NACIONAL SIERRA NEVADA,47.0,16.3,16.3,20.6,783.7,1.0,,,,,8.0,,,,,,,,,,,,,,,,,
6302A,-2.780005,2025-05-28T13:00:00+0000,0.0,869.0,7.8,3.3,66.0,37.141388,74.0,ABLA,24.0,27.9,29.5,29.8,925.1,,,,6.8,,,,,,,130.0,,,,,,,,,,870.0,,
6307C,-2.897216,2025-05-28T13:00:00+0000,,1713.43,7.8,3.6,171.0,37.052998,168.0,LAÚJAR  PARQUE NACIONAL SIERRA NEVADA,28.0,24.0,24.7,25.3,840.2,1.3,,1018.4,5.0,,19.0,,,,,,,,,,,,,,,,,
6307X,-2.912377,2025-05-28T13:00:00+0000,0.0,1510.0,8.7,4.8,326.0,37.03321,307.0,LAUJAR DE ANDARAX,32.0,23.8,25.1,25.1,,,,,,,,,,,,,,,,,,,,,,,,
6312E,-2.677185,2025-05-28T13:00:00+0000,0.0,601.13,7.8,4.3,102.0,37.020943,111.0,RÁGOL  PARQUE NACIONAL SIERRA NEVADA,24.0,29.7,30.3,30.9,954.4,1.0,,1020.6,7.4,,26.0,,,,,,,,,,,,,,,,,
6325O,-2.356931,2025-05-28T13:00:00+0000,0.0,21.0,5.7,3.0,210.0,36.846344,230.0,ALMERÍA/AEROPUERTO,62.0,25.0,25.7,25.9,1020.9,0.3,40.0,1023.3,17.9,,9.0,,,,,,,,,,,,,,,,,
6329X,-2.193056,2025-05-28T13:00:00+0000,0.0,42.0,14.5,11.0,117.0,36.721947,117.0,CABO DE GATA  FARO,67.0,22.3,22.9,22.9,,,,,,,,,,,,,,,,,,,,,,,,
6332Y,-1.906944,2025-05-28T13:00:00+0000,0.0,222.0,7.5,4.1,41.0,36.942223,46.0,CARBONERAS - FARO MESA ROLDÁN,65.0,25.1,25.3,25.7,1000.4,1.0,37.3,,18.2,20.0,16.0,60.0,26.0,,,,,,0.0,,,,,,,,,
6335O,-2.699181,2025-05-28T13:00:00+0000,0.0,969.93,7.8,4.0,110.0,37.109932,101.0,NACIMIENTO  PARQUE NACIONAL SIERRA NEVADA,25.0,28.9,29.5,30.2,915.1,1.3,,1019.4,7.4,,24.0,,,,,,,,,,,,,,,,,
6340X,-1.816589,2025-05-28T13:00:00+0000,0.0,7.0,,4.0,,37.178932,,GARRUCHA  PUERTO,76.0,23.4,23.4,24.3,,,,,,,,,,,,,,,,,,,,,,,,
6364X,-2.151523,2025-05-28T13:00:00+0000,0.0,508.0,7.8,4.2,101.0,37.40659,117.0,ALBOX,28.0,30.5,30.7,31.0,,,,,,,,,,,,,,,,,,,,,,,,
6367B,-1.943609,2025-05-28T13:00:00+0000,0.0,300.0,,,208.0,37.390556,204.0,HUERCAL OVERA,24.0,26.1,26.7,27.4,988.1,,,1022.2,4.5,,,,,,,2.0,,,,,,,,,,,,
6375X,-4.742002,2025-05-28T13:00:00+0000,0.0,420.0,10.4,5.3,170.0,37.132343,180.0,FUENTE DE PIEDRA ,12.0,31.1,32.1,32.1,,,,,,,,,,,,,,,,,,,,,,,,
7002Y,-1.586878,2025-05-28T13:00:00+0000,0.0,32.0,4.8,2.9,169.0,37.41724,219.0,ÁGUILAS,58.0,25.0,25.0,25.8,1020.5,0.8,36.4,1024.2,16.1,20.0,24.0,60.0,26.6,,,,,,0.0,,,,,,,,,
7007Y,-1.230556,2025-05-28T13:00:00+0000,0.0,66.0,6.0,3.9,184.0,37.588055,135.0,MAZARRÓN/LAS TORRES,54.0,28.0,28.1,28.6,,,,,,,,,,,,,,,,,,,,,,,,
7012C,-0.987775,2025-05-28T13:00:00+0000,0.0,17.0,4.8,1.7,185.0,37.601116,183.0,CARTAGENA,,,,,,,,,,,,,,,,68.0,,,,,,,,,,,,
7012D,-1.023333,2025-05-28T13:00:00+0000,0.0,55.61,6.9,3.5,144.0,37.604443,155.0,CARTAGENA - TENTEGORRA,35.0,26.3,27.5,27.5,1016.5,1.0,,1022.9,10.6,20.0,21.0,,,,,,,,,,,,,,,,,
7019X,-0.715556,2025-05-28T13:00:00+0000,0.0,2.5,5.8,3.7,99.0,37.635834,102.0,CARTAGENA/SALINAS CABO PALOS,74.0,24.2,24.3,24.7,,,,,,,,,,,,,,,,,,,,,,,,
7023X,-1.167175,2025-05-28T13:00:00+0000,0.0,140.0,,,,37.72648,,FUENTE ALAMO,32.0,30.0,30.2,30.4,,,,,,,,,,,,,,,,,,,,,,,,
7026X,-0.967505,2025-05-28T13:00:00+0000,0.0,50.0,6.3,2.5,101.0,37.738884,140.0,TORRE PACHECO (C.C.A. AUT.),36.0,28.7,28.9,29.1,,,,,,,,,,,,,,,,,,,,,,,,
7031X,-0.805916,2025-05-28T13:00:00+0000,0.0,4.0,5.7,3.9,110.0,37.77833,120.0,MURCIA/SAN JAVIER,66.0,24.8,25.0,25.3,1023.8,0.3,32.5,1024.2,18.2,,2.0,60.0,,,,,,,,,,,,,,,,
7066Y,-2.218889,2025-05-28T13:00:00+0000,0.0,680.0,,,,38.393333,,EMBALSE DE LA FUENSANTA (AUTOMÁTICA),22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7067Y,-2.412981,2025-05-28T13:00:00+0000,0.0,1485.0,,,,38.08842,,CAÑADAS DEL NERPIO,38.0,24.1,24.1,26.1,,,,,,,,,,,,,,,,,,,,,,,,
7072Y,-2.293887,2025-05-28T13:00:00+0000,0.0,960.0,,,,38.294994,,SEGE,29.0,29.5,30.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,
7080X,-1.986391,2025-05-28T13:00:00+0000,0.0,955.0,,,,38.268337,,BENIZAR,34.0,28.6,30.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,
7096B,-1.70294,2025-05-28T13:00:00+0000,0.0,604.57,6.1,2.4,73.0,38.541992,67.0,HELLÍN,29.0,28.1,29.4,29.5,954.4,,,1021.1,9.6,,,,,,,89.0,,,,,,,,,,,,
7103Y,-1.68944,2025-05-28T13:00:00+0000,0.0,615.0,,,,38.58806,,TOBARRA,29.0,30.0,31.3,31.3,,,,,,,,,,,,,,,,,,,,,,,,
7119B,-1.877167,2025-05-28T13:00:00+0000,0.0,643.0,6.2,2.7,92.0,38.10313,146.0,CARAVACA FUENTES DEL MARQUÉS,32.0,28.8,29.9,30.5,949.7,1.1,31.5,1020.2,11.4,,18.0,60.0,22.7,,,,,,,,,,,,,,,
7121A,-1.702227,2025-05-28T13:00:00+0000,0.0,350.0,6.7,4.0,143.0,38.234165,120.0,CALASPARRA,28.0,29.9,31.6,31.6,,,,,,,,,,,,,,,,,,,,,,,,
7127X,-1.695334,2025-05-28T13:00:00+0000,0.0,690.0,,,,38.0492,,BULLAS,36.0,28.5,29.4,29.4,,,,,,,,,,,,,,,,,,,,,,,,
7138B,-1.335282,2025-05-28T13:00:00+0000,0.0,485.0,9.4,5.8,257.0,38.458885,232.0,JUMILLA  EL ALBAL,28.0,30.7,31.6,31.6,,,,,,,,,,,,,,,,,,,,,,,,
7145D,-1.380598,2025-05-28T13:00:00+0000,0.0,265.0,7.2,3.2,116.0,38.23279,132.0,CIEZA  PARQUE DE BOMBEROS,29.0,31.2,32.1,32.4,,,,,11.8,,,,,,,118.0,,,,,,,,,,,,
7158X,-1.305839,2025-05-28T13:00:00+0000,0.0,150.0,,,,38.128056,,ARCHENA,31.0,31.3,32.3,32.4,,,,,,,,,,,,,,,,,,,,,,,,
7172X,-1.449172,2025-05-28T13:00:00+0000,0.0,255.0,5.5,2.7,110.0,38.041386,135.0,MULA (P. BOMBEROS - AUT.),27.0,30.0,31.2,31.2,,,,,,,,,,,,,,,,,,,,,,,,
7178I,-1.170836,2025-05-28T13:00:00+0000,0.0,61.84,5.6,2.4,142.0,38.002003,143.0,MURCIA,18.0,31.5,33.1,33.1,1015.3,1.0,37.6,1022.4,5.6,20.0,35.0,60.0,33.9,,,,,,0.0,,,,,27.4,,,,
7195X,-2.058228,2025-05-28T13:00:00+0000,0.0,985.0,,,,37.926003,,CARAVACA (LOS ROYOS- AUT.),38.0,27.6,27.9,27.9,,,,,,,,,,,,,,,,,,,,,,,,
7203A,-1.869755,2025-05-28T13:00:00+0000,0.0,646.0,6.8,3.8,142.0,37.8447,100.0,ZARZILLA DE RAMOS,29.0,30.2,31.2,31.2,,,,,,,,,,,,,,,,,,,,,,,,
7209,-1.687314,2025-05-28T13:00:00+0000,0.0,312.0,6.0,1.8,167.0,37.65484,170.0,LORCA,26.0,30.8,31.1,31.5,,,,,9.3,,,,,,,79.0,,,,,,,,,,,,
7211B,-1.797223,2025-05-28T13:00:00+0000,0.0,445.0,,,,37.56805,,PUERTO LUMBRERAS,26.0,30.6,30.8,30.8,,,,,,,,,,,,,,,,,,,,,,,,
7218Y,-1.5127,2025-05-28T13:00:00+0000,0.0,281.0,6.5,2.6,102.0,37.758556,100.0,TOTANA,29.0,30.8,31.6,31.6,,,,,,,,,,,,,,,,,,,,,,,,
7227X,-1.334725,2025-05-28T13:00:00+0000,0.0,157.0,8.6,5.2,211.0,37.86167,205.0,ALHAMA (COMARZA - AUT.),31.0,31.6,32.8,32.9,,,,,,,,,,,,,,,,,,,,,,,,
7237E,-1.158615,2025-05-28T13:00:00+0000,0.0,170.0,7.5,2.2,162.0,38.13889,137.0,MOLINA DE SEGURA (LOS VALIENTES),29.0,31.3,32.3,32.3,,,,,,,,,,,,,,,,,,,,,,,,
7244X,-0.981414,2025-05-28T13:00:00+0000,0.0,26.0,6.9,3.2,111.0,38.0678,95.0,ORIHUELA DESAMPARADOS,28.0,31.1,31.7,31.9,,,,,,,,,,,,,,,,,,,,,,,,
7247X,-1.037968,2025-05-28T13:00:00+0000,0.0,575.0,8.5,3.2,208.0,38.399586,243.0,PINOSO,22.0,29.9,30.7,31.1,,,,,6.5,,,,,,,133.0,,,,,,,,,,,,
7250C,-1.033817,2025-05-28T13:00:00+0000,0.0,174.0,,,,38.19439,,ABANILLA,32.0,30.6,31.7,31.7,,,,,,,,,,,,,,,,,,,,,,,,
7261X,-0.715258,2025-05-28T13:00:00+0000,0.0,31.0,6.7,3.8,96.0,38.088036,80.0,ROJALES  EL MOLINO,41.0,27.4,27.4,28.0,,,,,,,,,,,,,,,,,,,,,,,,
7275C,-1.159669,2025-05-28T13:00:00+0000,0.0,640.0,7.7,3.9,202.0,38.601795,205.0,YECLA,24.0,30.4,31.8,31.8,950.0,,39.4,1019.8,8.8,20.0,,60.0,22.7,0.0,0.0,,,,,,,,,,,,,
8005X,-0.795955,2025-05-28T13:00:00+0000,0.0,622.0,,,,38.779987,,FONTANARS - CASA DELS CUPS,29.0,31.0,31.5,31.6,,,,,,,,,,,,,,,,,,,,,,,,
8008Y,-0.865595,2025-05-28T13:00:00+0000,0.0,486.0,9.1,5.7,149.0,38.57697,140.0,VILLENA,30.0,30.2,30.3,30.5,,,,,,,,,,,,,,,,,,,,,,,,
8013X,-0.757713,2025-05-28T13:00:00+0000,0.0,233.0,,,,38.385628,,NOVELDA,34.0,30.3,30.3,30.9,,,,,,,,,,,,,,,,,,,,,,,,
8019,-0.57083,2025-05-28T13:00:00+0000,0.0,43.0,7.2,4.2,100.0,38.28278,110.0,ALICANTE-ELCHE/AEROPUERTO,42.0,25.8,27.1,27.5,,0.6,32.9,,13.1,,26.0,60.0,,,,,,,,,,,,,,,,
8025,-0.494167,2025-05-28T13:00:00+0000,0.0,80.66,5.7,2.7,129.0,38.3725,118.0,ALICANTE,44.0,26.2,26.6,27.1,1014.4,0.7,34.8,1023.9,13.4,20.0,23.0,60.0,24.6,,,,,,0.0,,,,,23.4,,,,
8036Y,-0.137786,2025-05-28T13:00:00+0000,0.0,35.6,5.5,2.2,173.0,38.543655,150.0,BENIDORM (PARC LES FOIETES),64.0,25.2,25.9,25.9,,,,,,,,,,,,,,,,,,,,,,,,
8050X,0.166667,2025-05-28T13:00:00+0000,0.0,15.0,8.0,4.8,211.0,38.78417,215.0,JÁVEA  AYUNTAMIENTO,35.0,28.1,28.2,29.3,1021.8,1.4,33.5,1023.5,11.3,20.0,15.0,60.0,26.6,,,,,,0.0,,,,,,,,,
8057C,-0.118261,2025-05-28T13:00:00+0000,0.0,60.0,4.1,1.4,62.0,38.846737,67.0,PEGO,54.0,27.5,28.5,28.5,,,,,,,,,,,,,,,,,,,,,,,,
8058Y,-0.137697,2025-05-28T13:00:00+0000,0.0,12.0,6.8,3.6,78.0,38.9503,75.0,MIRAMAR,69.0,25.3,25.8,25.9,,,,,,,,,,,,,,,,,,,,,,,,
8059C,-0.460071,2025-05-28T13:00:00+0000,0.0,530.0,6.7,3.3,51.0,38.71092,42.0,ALCOY,34.0,30.9,31.6,31.6,,,,,,,,,,,,,,,,,,,,,,,,
8096,-2.131944,2025-05-28T13:00:00+0000,0.0,948.52,7.3,2.5,289.0,40.067223,320.0,CUENCA,18.0,29.8,30.6,31.0,916.3,1.0,34.7,,3.6,20.0,60.0,60.0,26.7,,,,,,0.0,,,,,22.9,,868.5,,
8155Y,-1.915278,2025-05-28T13:00:00+0000,0.0,830.0,9.9,4.0,247.0,39.55528,255.0,MOTILLA DEL PALANCAR,25.0,30.4,31.1,31.1,,,,,,,,,,,,,,,,,,,,,,,,
8175,-1.856389,2025-05-28T13:00:00+0000,0.0,702.0,5.7,3.0,336.0,38.954166,314.0,ALBACETE/LOS LLANOS,20.0,31.3,32.3,32.8,942.7,1.3,,1019.1,6.5,,21.0,60.0,31.2,,,,,,0.0,,,,,24.1,,,,
8177A,-1.658812,2025-05-28T13:00:00+0000,0.0,880.0,7.0,1.7,325.0,38.9376,352.0,CHINCHILLA/CENAD,22.0,30.3,30.8,31.5,923.6,,,,6.7,,,,,,,101.0,,,,,,,,,,866.5,,
8178D,-1.862335,2025-05-28T13:00:00+0000,0.0,674.11,3.6,0.6,25.0,39.005577,69.0,ALBACETE OBS.,23.0,30.5,32.1,32.6,946.1,,,1019.5,8.4,,,,,,,44.0,,,,,,,,,,,,
8191Y,-1.435505,2025-05-28T13:00:00+0000,0.0,680.0,5.8,1.8,318.0,39.198746,322.0,LAS ERAS,25.0,32.0,33.1,33.1,,,,,,,,,,,,,,,,,,,,,,,,
8198Y,-1.063051,2025-05-28T13:00:00+0000,0.0,710.0,4.6,1.2,114.0,38.85055,100.0,ALMANSA,30.0,31.8,31.8,32.3,,,,,,,,,,,,,,,,,,,,,,,,
8203O,-1.100833,2025-05-28T13:00:00+0000,0.0,855.0,,3.1,55.0,39.082893,,EVC_ZARRA,23.0,28.2,30.0,30.0,926.5,,,,6.5,,,,,,,139.0,,,,,,,,,,,,
8210Y,-1.503605,2025-05-28T13:00:00+0000,0.0,1160.0,7.4,2.3,252.0,40.103096,232.0,SALVACAÑETE,26.0,28.6,29.6,29.6,,,,,,,,,,,,,,,,,,,,,,,,
8270X,-0.79,2025-05-28T13:00:00+0000,0.0,305.0,4.8,2.5,82.0,39.13361,105.0,BICORP,33.0,31.5,32.2,32.2,,,,,,,,,,,,,,,,,,,,,,,,
8283X,-0.607676,2025-05-28T13:00:00+0000,0.0,350.0,5.9,1.9,66.0,38.82944,75.0,ONTINYENT,35.0,30.3,31.7,32.0,,,,,,,,,,,,,,,,,,,,,,,,
8293X,-0.523056,2025-05-28T13:00:00+0000,0.0,88.0,4.3,2.2,360.0,39.001667,41.0,XÁTIVA,29.0,30.8,32.7,32.7,1011.2,0.6,28.2,1021.1,12.3,,23.0,60.0,40.2,,,,,,,,,,,,,,,
8300X,-0.445908,2025-05-28T13:00:00+0000,0.0,25.0,5.8,2.3,21.0,39.11338,67.0,CARCAIXENT,41.0,30.5,31.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,
8309X,-1.244795,2025-05-28T13:00:00+0000,0.0,758.0,6.0,3.4,115.0,39.575455,108.0,UTIEL  LA CUBERA,27.0,29.2,30.6,30.6,936.4,1.3,35.6,,9.4,20.0,34.0,60.0,26.7,,,,,,0.0,,,,,,,867.4,,
8325X,-0.371947,2025-05-28T13:00:00+0000,0.0,12.0,7.4,3.2,116.0,39.184723,103.0,POLINYA,55.0,24.8,25.3,25.9,,,,,15.6,,,,,,,127.0,,,,,,,,,,,,
8337X,-0.624616,2025-05-28T13:00:00+0000,0.0,186.0,,,,39.39214,,TURIS,38.0,32.2,32.5,32.6,,,,,,,,,,,,,,,,,,,,,,,,
8354X,-1.44139,2025-05-28T13:00:00+0000,0.0,1130.0,5.0,1.5,111.0,40.41972,345.0,ALBARRACÍN,32.0,27.5,28.6,28.6,,,,,,,,,,,,,,,,,,,,,,,,
8368U,-1.124132,2025-05-28T13:00:00+0000,0.0,901.67,7.8,3.4,31.0,40.350716,10.0,TERUEL,22.0,29.8,30.7,30.9,920.8,1.4,37.8,,6.5,19.4,35.0,60.0,26.6,,,,,,0.0,,,,,20.8,,863.3,,
8376,-1.411672,2025-05-28T13:00:00+0000,0.0,1430.0,5.5,1.6,104.0,40.236115,117.0,JABALOYAS  DEPÓSITO,34.0,25.0,25.7,25.7,,,,,,,,,,,,,,,,,,,,,,,,
8395X,-0.993611,2025-05-28T13:00:00+0000,0.0,515.0,7.4,4.0,145.0,39.75333,140.0,CHELVA,42.0,29.3,29.9,29.9,,,,,,,,,,,,,,,,,,,,,,,,
8409X,-0.653993,2025-05-28T13:00:00+0000,0.0,198.0,5.2,2.3,109.0,39.66401,145.0,LLIRIA,36.0,31.2,32.1,32.5,,,,,,,,,,,,,,,,,,,,,,,,
8414A,-0.474677,2025-05-28T13:00:00+0000,0.0,55.9,6.7,4.0,120.0,39.485016,140.0,VALENCIA/AEROPUERTO,38.0,29.5,30.0,30.1,1014.8,0.7,39.4,1021.2,14.1,,10.0,60.0,,,,,,,,,,,,,,,,
8416X,-0.337222,2025-05-28T13:00:00+0000,0.0,6.0,3.5,0.6,152.0,39.479443,182.0,VALENCIA UPV,61.0,25.2,25.9,26.2,,,,,,,,,,,,25.0,,,,,,,,,,,,
8416Y,-0.366387,2025-05-28T13:00:00+0000,0.0,11.0,5.6,2.8,166.0,39.480556,107.0,VALENCIA DT,38.0,26.4,26.6,27.7,,,,,11.1,,,,,,,105.0,,,,,,,,,,,,
8439X,-0.485282,2025-05-28T13:00:00+0000,0.0,400.0,6.5,2.5,141.0,39.79555,117.0,SEGORBE  MASIA HOYA,37.0,29.3,30.3,30.3,,,,,,,,,,,,,,,,,,,,,,,,
8458X,-0.849428,2025-05-28T13:00:00+0000,0.0,1380.0,8.5,3.3,313.0,40.430515,267.0,CEDRILLAS  ANTENAS,31.0,25.0,25.5,25.5,,,,,,,,,,,,,,,,,,,,,,,,
8472A,-0.54685,2025-05-28T13:00:00+0000,0.0,601.0,6.9,3.0,188.0,40.087708,190.0,ARENOS-PANTANO,42.0,29.4,30.2,30.2,,,,,,,,,,,,,,,,,,,,,,,,
8486X,-0.454339,2025-05-28T13:00:00+0000,0.0,1515.0,6.2,1.1,51.0,40.362514,37.0,MOSQUERUELA  DEPÓSITO,47.0,24.4,26.2,26.2,,,,,,,,,,,,,,,,,,,,,,,,
8489X,-0.255675,2025-05-28T13:00:00+0000,0.0,1130.0,6.6,3.1,123.0,40.433216,102.0,VILLAFRANCA,41.0,25.4,26.2,27.1,897.7,0.9,35.1,,11.9,20.0,26.0,58.0,16.2,,,,,,0.0,,,,,,"{'value': 1608.7, 'present': True}",,,
8492X,-0.169683,2025-05-28T13:00:00+0000,0.0,420.0,7.1,3.7,168.0,40.227142,142.0,ATZENETA DEL MAESTRAT,33.0,32.2,32.8,32.8,,,,,,,,,,,,,,,,,,,,,,,,
8500A,-0.071967,2025-05-28T13:00:00+0000,0.0,43.39,5.7,3.6,145.0,39.95728,98.0,CASTELLÓN-ALMASSORA,40.0,28.8,28.9,29.3,1017.0,1.1,36.0,1022.6,13.9,20.0,29.0,60.0,25.7,,,,,,0.0,,,,,28.7,,,,
8503Y,0.18354,2025-05-28T13:00:00+0000,0.0,35.0,5.5,3.0,153.0,40.2113,165.0,TORREBLANCA AYUNTAMIENTO (C.AGRARIA LOCAL),62.0,26.0,26.3,26.4,,,,,,,,,,,,,,,,,,,,,,,,
8520X,0.165221,2025-05-28T13:00:00+0000,0.0,1165.0,7.7,1.7,148.0,40.693718,252.0,FREDES,44.0,24.2,24.2,25.9,,,,,,,,,,,,,,,,,,,,,,,,
9001D,-4.160594,2025-05-28T13:00:00+0000,0.0,870.0,5.8,2.9,80.0,42.991882,81.0,NESTARES,46.0,21.7,23.1,23.1,926.3,,,,10.9,,,,,,,108.0,,,,,,,,,,884.1,,
9012E,-3.95718,2025-05-28T13:00:00+0000,0.0,915.0,,,,42.951336,,SANTA GADEA DE ALFOZ,55.0,20.8,21.6,21.6,,,,,,,,,,,,,,,,,,,,,,,,
9016X,-4.032219,2025-05-28T13:00:00+0000,0.0,770.0,6.6,1.9,88.0,42.809723,310.0,CUBILLO DE EBRO,39.0,25.7,26.7,26.9,,,,,,,,,,,,,,,,,,,,,,,,
9019B,-3.933916,2025-05-28T13:00:00+0000,0.0,720.0,6.6,1.6,63.0,42.806248,65.0,POLIENTES-CASYC,37.0,25.4,26.1,26.8,,,,,10.3,,,,,,,68.0,,,,,,,,,,,,
9031C,-3.30879,2025-05-28T13:00:00+0000,0.0,730.0,4.8,2.2,110.0,42.559525,87.0,BRIVIESCA,50.0,25.6,26.3,26.3,,,,,,,,,,,,,,,,,,,,,,,,
